id,title,title_en,image_url,chapters,publishing,published_from,published_to,score,scored_by,members,favorites,author
1869,Ryuurouden,,https://cdn.myanimelist.net/images/manga/2/272129.jpg,158,False,1993-07-06T00:00:00+00:00,2006-11-06T00:00:00+00:00,7.72,600,2118,34,2767
1870,Bambi,Bambi,https://cdn.myanimelist.net/images/manga/1/10165.jpg,5,False,2004-01-01T00:00:00+00:00,,6.85,287,593,2,3205
1871,Miss Rain,,https://cdn.myanimelist.net/images/manga/3/268512.jpg,5,False,1987-03-03T00:00:00+00:00,1990-06-02T00:00:00+00:00,6.64,203,532,3,1946
1873,Kidou Senshi Gundam: Silhouette Formula 91,,https://cdn.myanimelist.net/images/manga/1/2019.jpg,10,False,1992-08-01T00:00:00+00:00,1995-11-01T00:00:00+00:00,6.63,248,600,2,3212
1874,Cherish,,https://cdn.myanimelist.net/images/manga/1/164356.jpg,5,False,2005-11-28T00:00:00+00:00,2006-06-28T00:00:00+00:00,7.05,1702,3172,4,1945
1875,Caramel Milk Tea,,https://cdn.myanimelist.net/images/manga/3/183167.jpg,4,False,2001-08-11T00:00:00+00:00,2002-11-13T00:00:00+00:00,7.16,2000,3718,7,3188
1876,Hitohira,Hitohira,https://cdn.myanimelist.net/images/manga/3/115273.jpg,51,False,2004-03-02T00:00:00+00:00,2009-05-22T00:00:00+00:00,7.18,185,762,5,2898
1877,Maka-Maka,Maka-Maka,https://cdn.myanimelist.net/images/manga/2/13701.jpg,24,False,2003-12-17T00:00:00+00:00,,7.2,3311,6375,114,2983
1878,Danzaisha: Tetragrammaton Labyrinth,Tetragrammaton Labyrinth,https://cdn.myanimelist.net/images/manga/2/198707.jpg,36,False,2004-05-26T00:00:00+00:00,2007-09-26T00:00:00+00:00,7.06,654,2152,32,3047
1879,Kyousou Heaven,Rhapsody in Heaven,https://cdn.myanimelist.net/images/manga/4/38054.jpg,18,False,2006-08-19T00:00:00+00:00,2007-07-05T00:00:00+00:00,7.03,2940,6090,22,2191
1883,Magical Nan,,https://cdn.myanimelist.net/images/manga/2/199146.jpg,3,False,1990-01-01T00:00:00+00:00,,0.0,0,189,0,1930
1884,Mint de Kiss Me,Mint de Kiss Me,https://cdn.myanimelist.net/images/manga/3/258984.jpg,4,False,1995-01-01T00:00:00+00:00,,6.92,434,877,1,1930
1885,Otenami Haiken!,,https://cdn.myanimelist.net/images/manga/2/208572.jpg,2,False,1991-02-01T00:00:00+00:00,,0.0,0,169,0,1930
1888,Suna no Tiara,Sand Tiara,https://cdn.myanimelist.net/images/manga/1/30961.jpg,3,False,,,6.79,238,507,0,1930
1889,Gomen Asobase!,,https://cdn.myanimelist.net/images/manga/2/258986.jpg,4,False,1990-01-01T00:00:00+00:00,,6.97,287,702,2,1930
1890,Karen,Karen,https://cdn.myanimelist.net/images/manga/2/2033.jpg,0,False,,,0.0,0,95,1,3121
1891,Twinkle Tiara,Twinkle Tiara,https://cdn.myanimelist.net/images/manga/3/2034.jpg,8,False,1999-01-01T00:00:00+00:00,,0.0,0,198,0,3214
1892,Fugurumakan Raihouki,,https://cdn.myanimelist.net/images/manga/3/2035.jpg,8,False,2004-11-12T00:00:00+00:00,,7.11,978,1943,9,2379
1893,Yumekui Kenbun,Nightmare Inspector: Yumekui Kenbun,https://cdn.myanimelist.net/images/manga/1/160940.jpg,66,False,2001-01-01T00:00:00+00:00,2007-01-01T00:00:00+00:00,7.8,1235,4405,147,6680
1894,Mujuuryoku Shounen,,https://cdn.myanimelist.net/images/manga/5/2106.jpg,15,False,2002-01-01T00:00:00+00:00,,7.59,1589,3122,22,3216
1895,Mademoiselle Butterfly,,https://cdn.myanimelist.net/images/manga/2/268972.jpg,10,False,2001-12-08T00:00:00+00:00,2006-08-10T00:00:00+00:00,7.91,4146,8593,75,2697
1896,Akuma to Love Song,A Devil and Her Love Song,https://cdn.myanimelist.net/images/manga/2/134595.jpg,91,False,2006-12-01T00:00:00+00:00,2011-04-05T00:00:00+00:00,7.67,12085,30901,515,3217
1897,Purikyuu,,https://cdn.myanimelist.net/images/manga/2/20710.jpg,5,False,2005-01-01T00:00:00+00:00,,7.47,4930,8763,29,3218
1898,Sex=Love²,,https://cdn.myanimelist.net/images/manga/2/73733.jpg,8,False,2005-01-01T00:00:00+00:00,2006-01-01T00:00:00+00:00,6.65,2109,3929,17,2190
1899,Witchblade,Witchblade,https://cdn.myanimelist.net/images/manga/1/2043.jpg,12,False,,,6.83,1147,3087,30,7071
1900,Kamisama no Tsukurikata,How to Create a God,https://cdn.myanimelist.net/images/manga/1/118873.jpg,82,False,1995-09-18T00:00:00+00:00,2002-08-17T00:00:00+00:00,0.0,0,345,0,2784
1901,Pai Long,,https://cdn.myanimelist.net/images/manga/3/183093.jpg,17,False,1997-01-01T00:00:00+00:00,1998-01-01T00:00:00+00:00,6.93,506,1091,7,3084
1902,Zelda no Densetsu: Fushigi no Boushi,The Legend of Zelda: The Minish Cap,https://cdn.myanimelist.net/images/manga/2/126017.jpg,6,False,2006-01-01T00:00:00+00:00,,7.23,4977,8799,108,2564
1904,Salad Days,,https://cdn.myanimelist.net/images/manga/3/32396.jpg,165,False,1997-04-25T00:00:00+00:00,2001-10-31T00:00:00+00:00,7.68,860,2213,58,3213
1905,Metal Heart,,https://cdn.myanimelist.net/images/manga/3/150389.jpg,0,False,2004-01-01T00:00:00+00:00,2009-01-01T00:00:00+00:00,6.95,527,1978,2,1958
1907,Peridot,,https://cdn.myanimelist.net/images/manga/3/56453.jpg,50,False,1999-01-01T00:00:00+00:00,,6.52,833,1891,7,2530
1908,Hatsukoi Limited.,,https://cdn.myanimelist.net/images/manga/3/191732.jpg,33,False,2007-10-01T00:00:00+00:00,2008-05-26T00:00:00+00:00,7.39,6722,14398,135,1905
1909,Zankoku na Douwatachi,,https://cdn.myanimelist.net/images/manga/2/73879.jpg,5,False,1990-12-10T00:00:00+00:00,1992-08-20T00:00:00+00:00,6.84,1139,2299,6,2039
1910,Elf wo Karu Mono-tachi,Those Who Hunt Elves,https://cdn.myanimelist.net/images/manga/1/180332.jpg,100,False,1994-11-26T00:00:00+00:00,2002-11-27T00:00:00+00:00,7.14,305,1353,7,2769
1911,Gakkou no Ojikan,,https://cdn.myanimelist.net/images/manga/1/5744.jpg,115,False,2003-09-05T00:00:00+00:00,2008-11-20T00:00:00+00:00,7.33,1979,4836,17,3065
1912,Koisuru 1/4,,https://cdn.myanimelist.net/images/manga/2/263860.jpg,68,False,1998-01-01T00:00:00+00:00,2000-01-01T00:00:00+00:00,6.9,293,758,1,3065
